language_response,language_category
English,English
Inglés,English
Spanish,Spanish
Español,Spanish
Arabic,Arabic
Arábica,Arabic
Armenian,Armenian
Armenio,Armenian
Bantu,Bantu
Bantú,Bantu
Begali,Begali
Cantonese,Cantonese
Cantonés,Cantonese
French,French
Francés,French
German,German
Alemán,German
Greek,Greek
Griego,Greek
Gujarati,Gujarati
Haitian - Creole,Haitian - Creole
Haitiano - criollo,Haitian - Creole
Hebrew,Hebrew
Hebreo,Hebrew
Hindi,Hindi
Hmong,Hmong
Italian,Italian
Italiano,Italian
Japanese,Japanese
Japonés,Japanese
Khmer,Khmer
Korean,Korean
Coreano,Korean
Mandarin,Mandarin
Navajo,Navajo
Persian,Persian
Persa,Persian
Polish,Polish
Polaco,Polish
Portuguese,Portuguese
Portugués,Portuguese
Punjabi,Punjabi
Russian,Russian
Ruso,Russian
Serbo-Croatian,Serbo-Croatian
Serbocroatao,Serbo-Croatian
Tagalog,Tagalog
Tagalo,Tagalog
Tai-Kadai,Tai-Kadai
Tami,Tami
Telugu,Telugu
Urdu,Urdu
Vietnamese,Vietnamese
Vietnamita,Vietnamese